id,name,active,is_company,state_id/id,street,street2,zip,city,country_id/id,property_payment_term/id,phone,fax,email,website,ref,lang,sageecommerce,pwecommerce,property_account_position
res.partner_COLIFE,COLIFER - TÊXTIL E ACCESSORIOS LDA.,True,True,,RUA OLIVEIRA FIGUEIREDO,ZONA INDUSTRIAL . 1 - APART.155,3701 910,SAO JOAO DA MADEIRA,base.pt,account_payment_term.ttbeforeshipment,256 830742,256 830743,,,COLIFE,French / Français,COLIFE,mezoq647,Régime Intra-Communautaire
res.partner_COLIGN,COLIGNON,True,True,,44 . RUE DE BOUILLON,,5570,BEAURAING,base.be,account_payment_term.30joursnet,082 712062,,m.colignon@skynet.be,,COLIGN,French / Français,COLIGN,kalel380,Régime National
res.partner_COLLEC,COLLECT'OR Société,True,True,,6 . RUE DU MOUTIER ROMAIN,ROUSSEVILLE,76440,GRUMESNIL,base.fr,account_payment_term.60joursfindemois,0033 235093410,0033 235093415,,,COLLEC,French / Français,COLLEC,kenor018,Régime Intra-Communautaire
res.partner_COMETD,COMETDIA,True,True,,"40, AVENUE JUNOT",,75018,PARIS,base.fr,account_payment_term.60joursfindemois,0033 142644865,,,,COMETD,French / Français,COMETD,dalit401,Régime Intra-Communautaire
res.partner_COMFLE,COMITE ECOLES OFF.FLERON,True,True,,RUE DE L ENSEIGNEMENT,,4624,ROMSEE,base.be,account_payment_term.30joursnet,04 3559136,,,,COMFLE,French / Français,COMFLE,lumib918,Régime National
res.partner_COMMUN,COMMUNIC,True,True,,ROUTE DE SORCY,,8270,CHESNOIS-AUBONCO,base.fr,account_payment_term.60joursfindemois,,,,,COMMUN,French / Français,COMMUN,qezel085,Régime Intra-Communautaire
res.partner_COMPA1,MAUD COMPAGNY,True,True,,KONINGIN WIHELMINAPLEIN . 12,MODROME B 11,1062HK,AMSTERDAM,base.nl,account_payment_term.30joursnet,020.617.66.55,020.615.56.33,,,COMPA1,Dutch / Nederlands,COMPA1,zexav097,Régime Intra-Communautaire
res.partner_COMPAG,COMPAGNIE DES CUIRS,True,True,,3 . RUE DE LA FONTAINE BLANCHE,,29800,LANDERNEAU,base.fr,account_payment_term.60joursfindemois,02.98.85.02.61,,favejp@wanadoo.fr,,COMPAG,French / Français,COMPAG,cerom740,Régime Intra-Communautaire
res.partner_COMPBU,COMPLEXE BURENVILLE,True,True,,"RUE DE BURENVILLE , 46",,4000,LIEGE,base.be,account_payment_term.30joursnet,,,,,COMPBU,French / Français,COMPBU,rexig334,Régime National
res.partner_COMPT2,COMPTOIR D'ASIE SARL,True,True,,CC MONT GAILLART,,76620,LE HAVRE,base.fr,account_payment_term.60joursfindemois,0033 235465357,,,,COMPT2,French / Français,COMPT2,pazik334,Régime Intra-Communautaire
res.partner_COMPU,COMPUTEL,True,True,,BESTERDRING . 113,,5014,HJ TILBURG,base.nl,account_payment_term.30joursnet,00.31.13.543.95.08,,,,COMPU,Dutch / Nederlands,COMPU,lozob609,Régime Intra-Communautaire
res.partner_COMPWA,COMPLEXE WAROUX,True,True,,"RUE DES WAROUX , 10",,4000,LIEGE,base.be,account_payment_term.30joursnet,,,,,COMPWA,French / Français,COMPWA,tucil827,Régime National
res.partner_CONSTA,CONSTANT SPRL,True,True,,"AVENUE DE L 'EUROPE , 48",,6000,CHARLEROI,base.be,account_payment_term.30joursnet,071 328489,071 306728,,,CONSTA,French / Français,CONSTA,poraq176,Régime National
res.partner_CONTAC,SARL CONTACT MAROQUINERIE,True,True,,CC LECLERC,ECO PARK,34130,SAINT AUNES,base.fr,account_payment_term.60joursfindemois,04 67707057,04.67.70.70.57,,,CONTAC,French / Français,CONTAC,qucol232,Régime Intra-Communautaire
res.partner_CONTEN,CONTENANTS SARL,True,True,,9 . RUE DU STADE,,44660,SOULVACHE,base.fr,account_payment_term.60joursfindemois,02.40.28.80.58,02.40.28.7167,contenants@orange.fr,,CONTEN,French / Français,CONTEN,nokac514,Régime Intra-Communautaire
res.partner_CONTRE,CONTRE-TEMPS,True,True,,"AVENUE DE LA SALM, 13",,4980,TROIS-PONTS,base.be,account_payment_term.30joursnet,,,,,CONTRE,French / Français,CONTRE,sacuq509,Régime National
res.partner_COOK,G.D. COOK & SON,True,True,,MARKET PLACE,,NR19 1AW ,EAST DEREHAM ( NORFOLK ),base.uk,account_payment_term.30joursnet,01362.69.20.43,,,,COOK,English,COOK,zoluv180,Régime Intra-Communautaire
res.partner_COPPO1,COPPOLA SA,True,True,,46 . RUE DE LA GARE,,62300,LENS,base.fr,account_payment_term.60joursfindemois,03.21.28.63.35,03.21.43.38.04,,,COPPO1,French / Français,COPPO1,mazex032,Régime Intra-Communautaire
res.partner_CORA,CORA,True,True,,4EME RUE - ZI,,6040,JUMET,base.be,account_payment_term.30joursnet,071 258853,071 258849,,,CORA,French / Français,CORA,papoq175,Régime National
res.partner_CORAFR,CORA FRANCE,True,True,,"34, RUE DES VIEILLES VIGNES",CROISSY BEAUBOURG,77435,MARNE LA VALLEE CEDEX 2,base.fr,account_payment_term.60joursfindemois,0033 160538056,0033 160538251,,,CORAFR,French / Français,CORAFR,dafuc325,Régime Intra-Communautaire
res.partner_CORALU,CORA LUXEMBOURG,True,True,,RUE DU BRILL . 11,,3898,FOETZ,base.lu,account_payment_term.30joursnet,261.70.75.78,26.17.05.79,R42-FZ@cora.lu,,CORALU,French / Français,CORALU,bobuz281,Régime Intra-Communautaire
res.partner_CORAND,CORA ANDERLECHT,True,True,,"DREVE OLYMPIQUE, 15",,1070,BRUXELLES,base.be,account_payment_term.30joursnet,02 5585542,02 5585549,,,CORAND,French / Français,CORAND,xibid121,Régime National
res.partner_CORBER,CORA LUXEMBOURG SA (BERTRANGE),True,True,,ROUTE DE LONGWY . 80,,8060,BERTRANGE,base.lu,account_payment_term.30joursnet,352450224574,352450224404,,,CORBER,French / Français,CORBER,jetic657,Régime Intra-Communautaire
res.partner_CORCHA,CORA CHATELINEAU,True,True,,RUE TRIEU KAISIN,,6200,CHATELET,base.be,account_payment_term.30joursnet,071 240346,071 393968,,,CORCHA,French / Français,CORCHA,caxix627,Régime National
res.partner_CORDON,CORDONNERIE ANSOISE,True,True,,CHAUSSEE DU ROI ALBERT 1,,4430,ANS,base.be,account_payment_term.30joursnet,04 2460830,,,,CORDON,French / Français,CORDON,nuqal653,Régime National
res.partner_CORELI,CORELIO S.A.,True,True,,"BOULEVARD GOSSET, 30",,1702,GRAND-BIGARD,base.be,account_payment_term.30joursnet,,,,,CORELI,French / Français,CORELI,bikux539,Régime National
res.partner_CORHOR,CORA HORNU,True,True,,163 . ROUTE DE MONS,,7320,HORNU,base.be,account_payment_term.30joursnet,065 710349,065 710202,,,CORHOR,French / Français,CORHOR,duqud963,Régime National
res.partner_CORIAC,CORIACE,True,True,,STATIONSSTRAAT 90,,8790,WAREGEM,base.be,account_payment_term.30joursnet,056 603046,,info@coriace.be,,CORIAC,Dutch / Nederlands,CORIAC,cesuc865,Régime National
res.partner_CORIUM,CORIUM,True,True,,BRABANTDAM 27,,9000,GENT,base.be,account_payment_term.30joursnet,09 2239233,,info@lederwaren-corium.be,,CORIUM,Dutch / Nederlands,CORIUM,kexil807,Régime National
res.partner_CORLAL,CORA LA LOUVIERE,True,True,,RUE DE LA FRANCO-BELGE 28,,7100,LA LOUVIERE,base.be,account_payment_term.30joursnet,064 278242,064 260686,,,CORLAL,French / Français,CORLAL,fojur537,Régime National
res.partner_CORMES,CORA MESSANCY,True,True,,ROUTE D' ARLON,,6780,MESSANCY,base.be,account_payment_term.30joursnet,063 382443,063 382504,,,CORMES,French / Français,CORMES,xakic032,Régime National
res.partner_CORMIE,CORMIER MAROQUINERIE,True,True,,"3 , RUE DE LA MADELEINE",,60000,BEAUVAIS,base.fr,account_payment_term.60joursfindemois,03.44.45.09.05,,,,CORMIE,French / Français,CORMIE,futop286,Régime Intra-Communautaire
res.partner_CORNAL,CORNALINE,True,True,,"11, RUE MARECHAL FOCH",,42300,ROANNE,base.fr,account_payment_term.60joursfindemois,0033 477787003,,,,CORNAL,French / Français,CORNAL,qupod457,Régime National
res.partner_CORNE1,MME CORNET,True,True,,SQUARE DU VIEUX TILLEUL,,1050,BRUXELLES,base.be,account_payment_term.30joursnet,,,,,CORNE1,French / Français,CORNE1,jijap361,Régime National
res.partner_CORNU1,PHILIPPE CORNU,True,True,,SURISTER 69,,4845,JALHAY,base.be,account_payment_term.30joursnet,0473 691585,,,,CORNU1,French / Français,CORNU1,ladaz673,Régime National
res.partner_CORROC,CORA ROCOURT,True,True,,269 . CHEE DE TONGRES,,4000,ROCOURT,base.be,account_payment_term.30joursnet,04 2479211,,,,CORROC,French / Français,CORROC,pexes753,Régime National
res.partner_CORURA,CORDONNERIE URAL,True,True,,6 . RUE GRETRY,,4020,LIEGE,base.be,account_payment_term.30joursnet,04 3431025,,,,CORURA,French / Français,CORURA,borir640,Régime National
res.partner_CORWOL,CORA WOLUWE,True,True,,AVENUE DES COMMUNAUTES . 101-103,,1200,BRUXELLES,base.be,account_payment_term.30joursnet,02 7781842,02 7631005,,,CORWOL,French / Français,CORWOL,zilej485,Régime National
res.partner_COTECH,COTE CHARME,True,True,,"76, ALLEE DE MONTFERMEIL",,93340,LE RAINCY,base.fr,account_payment_term.60joursfindemois,0033 143003965,,,,COTECH,French / Français,,,Régime Intra-Communautaire
res.partner_COTECU,COTE CUIR - BOUCHEREAU(1520073700),True,True,,"63, RUE CHARLES DE GAULLE",,47200,MARMANDE,base.fr,account_payment_term.60joursfindemois,0033 553644256,,,,COTECU,French / Français,COTECU,burom803,Régime Intra-Communautaire
res.partner_COTEOP,MAROQ. COTE OPALE,True,True,,CITE EUROPE - NIVEAU HAUT,,62231,COQUELLES,base.fr,account_payment_term.60joursfindemois,3.21.85.38.53,,,,COTEOP,French / Français,COTEOP,nurif862,Régime Intra-Communautaire
res.partner_COTETE,COTE TEMPS,True,True,,"RUE DU VERGER D'AUVIN, 15",,5140,TONGRINNE,base.be,account_payment_term.30joursnet,071 800637,,c.thewis@cotetemps.com,,COTETE,French / Français,COTETE,eva2003,Régime National
res.partner_COULEU,COULEUR BAGAGES,True,True,,"ZAC DU PLATEAU DES COULEURS, 2 BIS",,26000,VALENCE,base.fr,account_payment_term.60joursfindemois,0033 475617894,,couleurbagages@dbmail.com,,COULEU,French / Français,COULEU,daqof981,Régime Intra-Communautaire
res.partner_COULO1,COULON SPRL,True,True,,RUE HAUTE - WEZ . 158,,4030,GRIVEGNEE,base.be,account_payment_term.30joursnet,04 3438268,04 3417202,coulon@afco-gainerie.com,,COULO1,French / Français,COULO1,hrubi7695,Régime National
res.partner_COULON,COULON CRISTEL,True,True,,RUE HAUTE - WEZ . 158,,4030,GRIVEGNEE,base.be,account_payment_term.30joursnet,,,,,COULON,French / Français,COULON,qokal304,Régime National
res.partner_COURTO,BIJOUTERIE C. COURTOIS,True,True,,"11 BIS, AVENUE FRANCOIS MITTERRAND",,80140,OISEMONT,base.fr,account_payment_term.60joursfindemois,0033 322205689,,,,COURTO,French / Français,COURTO,pikoz573,Régime Intra-Communautaire
res.partner_CPBF,BANQUE DE FRANCE COOP.,True,True,,"15 , RUE DALEYRAC",,75002,PARIS,base.fr,account_payment_term.60joursfindemois,0033 142925023,,,,CPBF,French / Français,CPBF,tajun422,Régime Intra-Communautaire
res.partner_CPRB,C.P.R.B.,True,True,,"RUE PRE DU PONT, 22",,1370,JODOIGNE,base.be,account_payment_term.30joursnet,010 819730,010 819739,,,CPRB,French / Français,CPRB,bizig919,Régime National
res.partner_CREASE,CREASEY'S,True,True,,HIGH STREET,,GY1 2JZ,ST PETER PORT,base.gg,account_payment_term.ttbeforeshipment,0044 1481720203,0044 1481716302,,,CREASE,English,CREASE,zadop171,Régime Extra-Communautaire
res.partner_CREAT1,CREATIVE STORM SD,True,True,,61 . RUE PASTEUR,,62410,MEURCHIN,base.fr,account_payment_term.60joursfindemois,06.83.21.60.29,,contact@creativestormsd.fr,,CREAT1,French / Français,CREAT1,sadam134,Régime Intra-Communautaire
res.partner_CREAT2,SAR CREATIVE MARKETING AG,True,True,,"38, RUE DE LUXEMBOURG",,6450,ECHTERNACH,base.lu,account_payment_term.30joursnet,,,fb@sar-ag.de,,CREAT2,English,CREAT2,qokeq963,Régime Intra-Communautaire
res.partner_CREAT3,CREATION IMAGE,True,True,,"10, RUE ROYALE",,75008,PARIS,base.fr,account_payment_term.60joursfindemois,0033 175438679,0033 153677910,,,CREAT3,French / Français,,,Régime Intra-Communautaire
res.partner_CREATIF,CREATIF CO. DIVINE PASSION,True,True,,"1, RUE TAVEL",CC GRAND ANGLE,30133,LES ANGLES,base.fr,account_payment_term.60joursfindemois,04.90.90.48.93,,,,CREATIF,French / Français,CREATI,dileg451,Régime Intra-Communautaire
res.partner_CRIJNS,LEDERWAREN CEES CRIJNS ,True,True,,POSTBUS . 56,,5201,AB 'S-HERTOGENBOSCH,base.nl,account_payment_term.30joursnet,045.52.53.856,045.52.53.856,,,CRIJNS,Dutch / Nederlands,CRIJNS,vucoj187,Régime Intra-Communautaire
res.partner_CROASD,CROASDALE,True,True,,THE CORNHILL,,IP33 1BJ,"BURY ST EDMUNDS , SUFFOLK",base.uk,account_payment_term.30joursnet,0044.01.28.47.54.700,,,,CROASD,English,CROASD,didon545,Régime Intra-Communautaire
res.partner_CROCOP,CROCO POP'S,True,True,,"302 , RUE DE VERDUN",,88800,VITTEL,base.fr,account_payment_term.60joursfindemois,0033 329081961,0033 329081961,,,CROCOP,French / Français,CROCOP,pufum893,Régime Intra-Communautaire
res.partner_CRONOM,CRONOMAX SPRL,True,True,,"26, RUE KATTEPUT",,1082,BRUXELLES,base.be,account_payment_term.30joursnet,,,,,CRONOM,French / Français,CRONOM,mocul072,Régime National
res.partner_CROWSF,CROWSFEET ( V. & H. ELDRIDGE ),True,True,,CANTILUPE ROAD,,HR9 7TZ,ROSS-ON-WYE,base.uk,account_payment_term.30joursnet,0044 1989763698,,,,CROWSF,French / Français,CROWSF,serat572,Régime Intra-Communautaire
res.partner_CRYST1,CRYSTAL GEMS BVBA,True,True,,HOVENIERSSTRAAT 2,,2018,ANTWERPEN,base.be,account_payment_term.30joursnet,03 2250685,03 2328176,,,CRYST1,Dutch / Nederlands,CRYST1,fonod401,Régime National
res.partner_CS,CORIUM C & S,True,True,,20 . BOULEVARD DESAIX,,63000,CLERMONT-FERRAND,base.fr,account_payment_term.60joursfindemois,06.83.23.31.92,04.73.93.02.22,sylvainleyre@corium.fr,www.corium.fr,CS,French / Français,CS,pekuz213,Régime Intra-Communautaire
res.partner_CUBBAE,COBBAERT-VANNIEUWENHOVE,True,True,,PAMELSESTRAAT 124,,1770,LIEDEKERKE,base.be,account_payment_term.30joursnet,053 680404,,cobbaert.danny@mobistar.be,,CUBBAE,Dutch / Nederlands,CUBBAE,cobbaert,Régime National
res.partner_CUEVAS,MARIO CUEVAS SUBIAS,True,True,,"C/ PADRE HUESCA, 16",,22002,HUESCA,base.es,account_payment_term.ttbeforeshipment,0034 974227991,,info@masmaletas.com,,CUEVAS,English,CUEVAS,fotal679,Régime Intra-Communautaire
res.partner_CUI,CUIRLUX MAROQUINERIE,True,True,,"RUE DE FER , 125",,5000,NAMUR,base.be,account_payment_term.30joursnet,,,,,CUI,French / Français,CUI,sofom237,Régime National
res.partner_CUIR,CUIRLUX COMPLICITE,True,True,,"15 , RUE DE LA GARE",,7780,COMINES,base.be,account_payment_term.30joursnet,056 557621,,dcoppe2@hotmail.com,,CUIR,French / Français,CUIR,ruqev093,Régime National
res.partner_CUIR21,CUIR 2000,True,True,,CC AUCHAN,,59494,PETITE FORET,base.fr,account_payment_term.60joursfindemois,327360231,,cuir2000@gmail.com,,CUIR21,French / Français,CUIR21,lixon007,Régime Intra-Communautaire
res.partner_CUIR49,CUIR 49,True,True,,94 . ROUTE NATIONALE,,49300,CHOLET,base.fr,account_payment_term.60joursfindemois,241.62.10.70,,,,CUIR49,French / Français,CUIR49,finep391,Régime Intra-Communautaire
res.partner_CUIRBO,CUIR BOUTIQUE,True,True,,"113, GRAND RUE",,26700,PIERRELATTE,base.fr,account_payment_term.60joursfindemois,0033 475040277,0033 389673343,,,CUIRBO,French / Français,CUIRBO,zozas946,Régime Intra-Communautaire
res.partner_CUIRCH,CUIR CHIC,True,True,,CC LE LEZ- AV. JEAN GIONO,,84500,BOLLENE,base.fr,account_payment_term.60joursfindemois,0033 490309207,,elaujapa@wanadoo.fr,,CUIRCH,French / Français,CUIRCH,pajol637,Régime Intra-Communautaire
res.partner_CUIREL,CUIREL MAROQUINERIE,True,True,,RUE DE LA STATION . 57,,4032,CHENEE,base.be,account_payment_term.30joursnet,,,,,CUIREL,French / Français,,,Régime National
res.partner_CUIREV,CUIR EVASION SARL,True,True,,34 . RUE DE LA REPUBLIQUE,,14600,HONFLEUR,base.fr,account_payment_term.60joursfindemois,2.31.89.47.13,,,,CUIREV,French / Français,CUIREV,jinij349,Régime Intra-Communautaire
res.partner_CUIRPA,CUIR PASSION,True,True,,CC CARREFOUR,,14400,BAYEUX,base.fr,account_payment_term.60joursfindemois,0033 231216656,,,,CUIRPA,French / Français,CUIRPA,SOLEIL14,Régime Intra-Communautaire
res.partner_CUIRS1,CUIRS DE FRANCE,True,True,,22 . RUE ST YON,,17000,LA ROCHELLE,base.fr,account_payment_term.60joursfindemois,05.46.41.21.05,05.46.41.21.05,,,CUIRS1,French / Français,CUIRS1,sojer189,Régime Intra-Communautaire
res.partner_CUIRY,CUIRYS - DARNETAL,True,True,,61 . RUE DU GENERAL LECLERC,,77100,MEAUX,base.fr,account_payment_term.60joursfindemois,0033 164370283,,,,CUIRY,French / Français,CUIRY,fecoj415,Régime Intra-Communautaire
res.partner_CUIRYS,CUIRY'S DARNETAL,True,True,,"61, RUE DU GENERAL LECLERC",,77100,MEAUX,base.fr,account_payment_term.60joursfindemois,0033 142505008,,,,CUIRYS,French / Français,CUIRYS,xerax790,Régime Intra-Communautaire
res.partner_CUPITT,CUPITT JEWELLER,True,True,,BEECH TREE HOUSE,"16, THE STRAND",B61 8AB,BROMSGROVE,base.uk,account_payment_term.30joursnet,0044 1527873021,,,,CUPITT,English,CUPITT,tujiv048,Régime Intra-Communautaire
res.partner_CUPPEN,CUPPENS ,True,True,,WJ VAN GHENDTSTRAAT . 33 A ,,5262,CT VUGHT,base.nl,account_payment_term.30joursnet,073-6566495,073-6571700,,,CUPPEN,Dutch / Nederlands,CUPPEN,tufem001,Régime Intra-Communautaire
res.partner_CURPHE,WILLIAM CURPHEY LTD,True,True,,"21/23 CASTLE STREET , DOUGLAS",,IM1 2EX,ISLE OF MAN,base.uk,account_payment_term.30joursnet,,,,,CURPHE,English,CURPHE,jepor186,Régime Intra-Communautaire
res.partner_CYBEL1,CYBELE (N°1520073937),True,True,,CC GEANT,ROUTE DE PENOS,22300,LANNION,base.fr,account_payment_term.60joursfindemois,0033 296465068,02 96465068,phlebailly@hotmail.fr,,CYBEL1,French / Français,CYBEL1,kefep413,Régime Intra-Communautaire
res.partner_CZTEND,C.Z. TENDANCE S.A.R.L.,True,True,,"20, PLACE AUBAN MOËT",,51200,EPERNAY,base.fr,account_payment_term.60joursfindemois,0033 326324496,,,,CZTEND,French / Français,CZTEND,xapir472,Régime Intra-Communautaire
res.partner_DAAMS1,DAAMS SCHOENMAKERIJ BV,True,True,,JAN HEINSSTRAAT 10,,5041,GB TILBURG,base.nl,account_payment_term.30joursnet,0031 135442767,,,,DAAMS1,Dutch / Nederlands,DAAMS1,davit099,Régime Intra-Communautaire
res.partner_DACAMI,DA CAMILLA,True,True,,"CORSO UMBERTO, 188",,75012,BERNALDA (MT),base.it,account_payment_term.30joursnet,0039 835544713,,loizzocamilla@gmail.com,,DACAMI,English,DACAMI,tavec052,Régime Intra-Communautaire
res.partner_DACHS1,DACHSER GMBH & CO. KG,True,True,,MAX-PLANCK-STRASSE 2-8,,52477,ALSDORF,base.de,account_payment_term.30joursnet,+49 2404902190,+49 2404902189,c.schmitz@dachser.com,,DACHS1,English,DACHS1,burok462,Régime Intra-Communautaire
res.partner_DACOBE,DACOBEL S.A.,True,True,,RUE SAINT DENIS 157,,1190,BRUXELLES,base.be,account_payment_term.30joursnet,02 3444430,,,,DACOBE,French / Français,DACOBE,pacoj224,Régime National
res.partner_DACOFR,DACO FRANCE,True,True,,"142, RUE DES OGIERS",,59170,CROIX,base.fr,account_payment_term.60joursfindemois,0033 320650510,0033 320984433,tdesurmont@dacofrance.fr,,DACOFR,French / Français,DACOFR,qoluz940,Régime Intra-Communautaire
res.partner_DACOMA,DACOMA SRL,True,True,,4A CONSTANTIN PREZAN BD,SECTOR 1,1400,BUCAREST,base.ro,account_payment_term.ttbeforeshipment,4021.222.95.59,4021.222.95.59,,,DACOMA,English,DACOMA,racos541,Régime Intra-Communautaire
res.partner_DACTY1,DACTYL BURO OFFICE,True,True,,11 . RUE CHARLES DURAND,CS 90 004,18023,BOURGES CEDEX,base.fr,account_payment_term.60joursfindemois,02.48.68.81.56,02.48.68.81.32,,,DACTY1,French / Français,DACTY1,kunus563,Régime Intra-Communautaire
res.partner_DADROG,DA DROGISTERIJ-PARFUMERIE,True,True,,HOF 15,,5571CA,BERGEIJK,base.nl,account_payment_term.30joursnet,0031 497571262,0031 848318463,davansloun@gmail.com,,DADROG,Dutch / Nederlands,DADROG,bamud958,Régime Intra-Communautaire
res.partner_DAHLA1,DAHLHAUS LEDERWAREN,True,True,res.state_NORDRHEIN-WESTFALEN,WESTSTRASSE 62,,59227,AHLEN,base.de,account_payment_term.30joursnet,23822737,238286438,,,DAHLA1,English,DAHLA1,cudet456,Régime Intra-Communautaire
res.partner_DAILYT,DAILY TRADING BVBA,True,True,,BEGIJNENSTRAAT 60B,,3290,DIEST,base.be,account_payment_term.30joursnet,,,daily-trading@skynet.be,,DAILYT,Dutch / Nederlands,DAILYT,jelat712,Régime National
res.partner_DALER1,DALERO SCHOENMAKER,True,True,,KAREL GERARDSTRAAT . 5,,7552,GT DRIEBERGEN,base.nl,account_payment_term.30joursnet,742.50.35.84,,,,DALER1,Dutch / Nederlands,DALER1,vebob529,Régime Intra-Communautaire
res.partner_DALIAN,DALIANCE GROUPE DALTONER,True,True,,AVENUE BISCHWILLER,,14500,VIRE,base.fr,account_payment_term.60joursfindemois,02.31.66.21.00,02.31.66.21.01,vire@daliance.fr,www.daliance.fr,DALIAN,French / Français,DALIAN,rikil693,Régime Intra-Communautaire
res.partner_DALTO1,DALTONER GRANVILLE,True,True,,ZAC DU PRETOT,,50400,GRANVILLE,base.fr,account_payment_term.60joursfindemois,0033 233912080,0033 233912089,,,DALTO1,French / Français,DALTO1,ribej834,Régime Intra-Communautaire
res.partner_DALTON,DALTONER ,True,True,,915 . RUE LOUISE MICHEL,ZONE NEPTUNE,50000,ST LO,base.fr,account_payment_term.60joursfindemois,02.33.75.68.00,02.33.75.68.01,,,DALTON,French / Français,DALTON,lixij277,Régime Intra-Communautaire
res.partner_DANESA,CASA DANESA,True,True,,"C/ LES CANALS, 03",,AD500,ANDORRA LA VELLA,base.ad,account_payment_term.ttbeforeshipment,,,info@casadanesa.com,,DANESA,English,DANESA,cijug490,Régime Extra-Communautaire
res.partner_DANIEL,LEDERWAREN DANIELLE B.V.,True,True,,BUITENVAART 1723,,7905,SN HOOGEVEEN,base.nl,account_payment_term.30joursnet,0031 528233787,0031 528233789,,,DANIEL,Dutch / Nederlands,DANIEL,jodoc311,Régime Intra-Communautaire
res.partner_DANKER,DANKERS SPECIAL CASE PRODUCTS B.V.,True,True,,POSTBUS 63,,5060,AB OISTERWIJK,base.nl,account_payment_term.30joursnet,0031 135230393,0031 135230389,,,DANKER,Dutch / Nederlands,DANKER,sovog100,Régime Intra-Communautaire
res.partner_DANNEE,DANNEELS,True,True,,HOEK SINT-AMANDSSTRAAT 46,,8000,BRUGGE,base.be,account_payment_term.30joursnet,050 333141,050 319808,info@danneelslederwaren.be,,DANNEE,Dutch / Nederlands,DANNEE,talaz517,Régime National
res.partner_DANYS,DANY'S,True,True,,20 . BD GAMBETTA,,34800,CLERMONT L'HERAULT,base.fr,account_payment_term.60joursfindemois,04.67.96.04.72,04.67.96.04.72,,,DANYS,French / Français,DANYS,nabep437,Régime Intra-Communautaire
res.partner_DARICI,DARICI  (1550067093) TASSEN & KOFFE,True,True,,WETHOUDER  SANGERSSTR. 100 ,,6191,NA BEEK (L),base.nl,account_payment_term.30joursnet,046.43.74.621,,,,DARICI,Dutch / Nederlands,DARICI,cezad490,Régime Intra-Communautaire
res.partner_DASSEL,VAN DASSELAAR,True,True,,KERKSTRAAT . 9,,3891,ET ZEEWOLDE,base.nl,account_payment_term.30joursnet,036-5222627,,,,DASSEL,Dutch / Nederlands,DASSEL,poros178,Régime Intra-Communautaire
res.partner_DATAEX,DATA EXPRESS SA,True,True,,"RUE SAINT DENIS, 157",,1190,BRUXELLES,base.be,account_payment_term.30joursnet,,,,,DATAEX,French / Français,DATAEX,buduj078,Régime National
res.partner_DAUGER,DAUGER GILLES,True,True,,"12 , RUE JEAN MARIDOR",,75015,PARIS,base.fr,account_payment_term.60joursfindemois,"1,45,57,84,71",,,,DAUGER,French / Français,DAUGER,dagoc535,Régime National
res.partner_DAVID1,DAVID MAROQ.(N°1540066961),True,True,,5 . RUE DU GENERAL BARON FABRE,Z I  DU PRAT,56000,VANNES,base.fr,account_payment_term.60joursfindemois,0033 297010992,0033 297010994,,,DAVID1,French / Français,DAVID1,qopet098,Régime Intra-Communautaire
res.partner_DAVID2,BIJOUTERIE DAVID,True,True,,"2, RUE TAILLANT",,30130,PONT-SAINT-ESPRIT,base.fr,account_payment_term.60joursfindemois,0033 466391620,,,,DAVID2,French / Français,DAVID2,kalab162,Régime Intra-Communautaire
res.partner_DAVIDL,DAVID LLOYD JEWELLERS,True,True,,2-4 NEW STREET,,TF1 1NE,"WELLINGTON, TELFORD",base.uk,account_payment_term.30joursnet,0044 1952249332,,,,DAVIDL,English,DAVIDL,rafet254,Régime Intra-Communautaire
res.partner_DAVIDT,DAVIDTS S.A.,True,True,,RUE DES SEMAILLES 27,,4400,FLEMALLE,base.be,account_payment_term.30joursnet,04 3449797,04 3449791,,,DAVIDT,French / Français,DAVIDT,nephilim,Régime National
res.partner_DAVISE,DAVIDTS SEVERINE,True,True,,QUAI GODEFROID KURTH 32/103,,4020,LIEGE,base.be,account_payment_term.30joursnet,,,,,DAVISE,French / Français,DAVISE,neqec022,Régime National
res.partner_DAVYPR,DAVY PRODUCTS BVBA,True,True,,MOLENWEG 14-16,,3520,ZONHOVEN,base.be,account_payment_term.30joursnet,011 817694,011 815842,,,DAVYPR,Dutch / Nederlands,DAVYPR,nabiv291,Régime National
res.partner_DAWSON,DAWSONS JEWELLERS,True,True,,53 POPLAR ROAD,,B91 3AW,SOLIHULL,base.uk,account_payment_term.30joursnet,0044 1217043432,0044 1217043432,,,DAWSON,English,DAWSON,geviq893,Régime Intra-Communautaire
res.partner_DDC,DDC,True,True,,18 . RUE DE L'INDUSTRIE,BP 20169,67405,ILLKIRCH,base.fr,account_payment_term.60joursfindemois,0033 680229753,,ddc4@wanadoo.fr,,DDC,French / Français,DDC,surup467,Régime Intra-Communautaire
res.partner_DEACON,DEACONS,True,True,,11/15 WOOD STREET,,SN1 4AN,"OLD TOWN SWINDON, WILTS",base.uk,account_payment_term.30joursnet,0044 1793527530,,shop@deacons-jewellers.com,,DEACON,English,DEACON,ravaj106,Régime Intra-Communautaire
res.partner_DEBEST,DE BEDSTIED,True,True,,OOSTERBUREN 46-48,,8891,GD TERSCHELLING MIDSLAND,base.nl,account_payment_term.30joursnet,0562.44.95.02,0562.44.95.04,,,DEBEST,English,DEBEST,kukak374,Régime Intra-Communautaire
